Bien
id;No voie;Type de voie;Voie;Surface Carrez du 1er lot;Type local;Surface reelle bati;Nombre pieces principales
;4;RUE;DE LA CONGREGATION;28,13;Appartement;29;1
;21;RUE;AMPERE;88,14;Maison;119;4
;3;AV;CARNOT;77,91;Appartement;76;3
;30;RUE;SERURIER;26,4;Appartement;27;1
;2;RUE;DE LA SELLERIE;119,4;Appartement;122;4
;1;RUE;D ISLE;33,49;Appartement;32;1
;23;RUE;DU GOUVERNEMENT;96,4;Appartement;127;4
;15;RUE;VARLET;53,22;Appartement;52;2
;2;PL;FERNAND MARQUIGNY;142,98;Appartement;143;5
;36;RUE;DU MOULIN BOTTE;50,16;Appartement;43;2
;12;RUE;DES PAVEURS;108,49;Appartement;127;4
;2;BD;JEANNE D ARC;29,16;Appartement;29;1
;2;RUE;JEAN DELAPLACE;79,27;Maison;81;4
;1;RUE;DE LA SURCHETTE;64,21;Appartement;67;4
;18;RUE;QUINQUET;121,9;Appartement;122;5
;1;RUE;DU PONT DE LA TOURNELLE;145,28;Maison;145;4
;7;RUE;DE FONTENOY;49,99;Appartement;49;3
;;;LA FOSSE SALMON;58,67;Appartement;58;2
;19;RUE;SAINT DENIS;55,74;Maison;50;3
;3;RUE;ROGER SALENGRO;77,56;Appartement;77;5
;18;RUE;DU CHAMP BOUILLANT;49,33;Appartement;48;2
;3;RUE;DE LA RESISTANCE;47,02;Appartement;36;3
;14;RUE;PORTE CROUY;37,18;Appartement;75;2
;2;CHT;DE LA QUINCY;106;Maison;109;6
;8;PTR;PETITE RUE SAINT VINCENT;39,62;Maison;64;3
;2;RUE;DE BAPAUME;81,62;Appartement;81;4
;10;PL;DE LAON;41,42;Appartement;44;1
;1;RUE;DES GRAVIERS;62,15;Appartement;83;3
;15;RUE;DU CHAMP BOUILLANT;59,81;Appartement;59;4
;20;RUE;NOTRE DAME;20,45;Appartement;26;1
;17;RUE;ALEXANDRE DUMAS;89,56;Appartement;86;3
;5;RUE;FERNAND BAZIN;570;Maison;110;6
;5;PL;DU DOCTEUR MOUFLIER;21,4;Appartement;21;1
;2;BD;EDOUARD BRANLY;49,46;Appartement;57;2
;2;BD;EDOUARD BRANLY;45,12;Appartement;44;2
;4;PL;DE LAON;68,95;Appartement;72;3
;16;RUE;D OULCHY LE CHATEAU;76,95;Appartement;76;3
;12;AV;THIERS;72,93;Appartement;72;2
;4;RUE;JEAN MOULIN;65,9;Appartement;64;3
;3;RUE;PORTE CROUY;31,84;Appartement;32;2
;5;PL;DU DOCTEUR MOUFLIER;20,69;Appartement;23;1
;30;AV;DU GENERAL DE GAULLE;29,36;Appartement;33;1
;9;RUE;VICTOR HUGO;67,85;Appartement;54;3
;41;RUE;DU GRAND MONTOIR;51,07;Appartement;42;3
;7;RUE;DE PANLEU;29,21;Appartement;30;1
;30;AV;DU GENERAL DE GAULLE;23,7;Appartement;25;1
;10;PL;DE LAON;73,94;Appartement;75;3
;5;RUE;FERNAND BAZIN;93,89;Maison;110;6
;2;BD;EDOUARD BRANLY;68,37;Appartement;67;3
;2;BD;EDOUARD BRANLY;73,65;Appartement;73;3
;22;BD;JEANNE D ARC;31,62;Appartement;32;1
;12;AV;DE LA MARE AUX CANES;60,2;Appartement;60;3
;3;PL;DE L HOTEL DE VILLE;48,5;Appartement;54;3
;50;GR;GRANDE RUE;57,74;Appartement;58;3
;1;RES;RENOIR;78,24;Appartement;75;4
;2;RUE;PAUL CLAUDEL;64,24;Appartement;64;3
;22;RUE;DE LA FRATERNITE;34,46;Appartement;33;2
;2;RUE;DENAIN;124,01;Appartement;77;3
;22;RUE;DE LA FRATERNITE;34,9;Appartement;38;1
;22;RUE;DE LA FRATERNITE;22,19;Appartement;22;1
;14;RUE;CHARLES PEGUY;83,87;Appartement;84;4
;4;RES;PARC MONTFAULT;107,77;Maison;112;5
;11;RUE;DU VERT GALANT;61,4;Appartement;60;4
;16;IMP;DU PRE DE MOLLES;128,8;Maison;85;5
;84;RTE;DE LYON;58,46;Appartement;59;3
;3;RUE;JACQUES VINCENT;40,06;Appartement;40;2
;24;RUE;GASPARD ROUX;78,3;Appartement;79;4
;1;AV;DU DRAPEAU;106;Appartement;105;5
;71;RUE;JEAN JAURES;74,54;Appartement;80;3
;2;RUE;MONTIGNAC;81,72;Appartement;79;3
;2;RUE;DU 11 NOVEMBRE;67,64;Appartement;67;4
;10;RUE;DUCHON;42,98;Appartement;47;2
;4;RUE;HUBERT COLOMBIER;40,57;Appartement;45;2
;9003;PL;DE L HORLOGE;105,71;Appartement;119;4
;7102;PL;DE L ENGIEN;106,43;Appartement;133;4
;7003;RES;LES MELEZES;29,74;Appartement;31;1
;9500;TRA;DU CAMPING;65,4;Appartement;66;3
;1;RUE;DES MONGES;144,6;Appartement;120;4
;7066;;STATION DE SAINT JEAN;24,74;Appartement;24;1
;9002;PL;DU DOCTEUR ROBERT;32,89;Appartement;33;1
;7192;;LA CHAPELLE;20,92;Appartement;20;1
;;PL;DES AIRES;93,76;Appartement;120;4
;7078;RTE;DE MAZAGRAND;20,73;Appartement;20;1
;7037;;LE VILLAGE;26,6;Appartement;27;2
;6;RUE;GRANDE;40;Appartement;50;3
;7034;;ADRECH DE CHAUVET;27,46;Appartement;26;1
;25;AV;FRANCOIS CUZIN;51,42;Appartement;51;2
;20;RUE;DU VALLON DE FARINE;71,39;Maison;71;3
;7002;;STATION DE SAINT JEAN;41,16;Appartement;49;2
;7042;;LE VILLAGE;65,5;Appartement;32;2
;7398;;PONT DE LABRAU OUEST;34,95;Appartement;35;2
;24;LOT;LOTISSEMENT DU BERARD;60,66;Appartement;52;3
;7052;RES;LES CHENEVRIERS;24,32;Appartement;25;1
;12;CHE;DES ALPAGES;23,02;Appartement;23;1
;25;RUE;PRINCIPALE;59,73;Appartement;63;2
;7300;CHE;DES BEAUMES;33,05;Appartement;33;2
;39;BD;VICTOR HUGO;23,25;Appartement;23;1
;9482;RES;LE VALLON DES SOURCES;30,47;Appartement;30;2
;32;BD;VICTOR HUGO;28,33;Appartement;29;1
;5081;;LE SUPERSAUZE;35,97;Appartement;44;1
;26;;LE PONT;20,85;Maison;32;2
;7178;;PONT DE LABRAU;20,55;Appartement;21;1
;2;IMP;DE CARUPE;142,9;Appartement;147;5
;7153;;LES HAUTES PLAINES;18,44;Appartement;18;1
;5112;RES;LES MARGUERITES;26,76;Appartement;30;1
;4;PL;DE LA MAIRIE;53,1;Appartement;51;2
;5230;;LE SUPERSAUZE;35,2;Appartement;23;2
;7153;;LES HAUTES PLAINES;18,84;Appartement;18;1
;6;;ANCIENNE RTE D FORCALQUIER;80,26;Appartement;80;3
;7096;;BEAUDINE;76,81;Appartement;74;4
;3;PL;DE LA REPUBLIQUE;79,54;Appartement;80;3
;53;RUE;DELEUZE;72,07;Appartement;85;2
;7023;;GRANDE MONTAGNE;29,66;Appartement;29;2
;7052;;LES AUCHES;29,03;Appartement;37;2
;181;ALL;DES AVETTES;82,37;Maison;79;5
;5;AV;MARCEL ANDRE;33,8;Appartement;41;2
;7218;;LACHAUD ET CHAUVET;19,72;Appartement;19;1
;320;AV;DU DCT BERNARD FOUSSIER;15;Appartement;98;4
;6;RUE;ANDRE HONNORAT;58,96;Appartement;60;3
;155;RUE;DOC CASIMIR CAIRE;42,73;Appartement;42;2
;5637;AV;DES THERMES;25,32;Appartement;27;1
;7054;;LA CHAPELLE;14,41;Appartement;20;1
;3;RUE;TANNERIE;38,97;Appartement;60;2
;118;RUE;POTERIE;44,44;Appartement;35;3
;1;REM;DES CORDELIERS;27,26;Maison;29;1
;9002;;LES LAVANDES;83,88;Appartement;84;5
;;RES;LES MARMOTTES BLEUES;25,55;Appartement;29;2
;5038;;LE VILLAGE;40,4;Appartement;38;1
;9;RUE;FONT CHAUDE;136,86;Appartement;44;2
;7089;;SAINT PIERRE;90,75;Appartement;87;4
;5154;RUE;DE LA FERRAILLE;59,36;Maison;66;2
;7215;;LA SESTRIERE;26,99;Appartement;27;1
;3;TRA;DES EAUX CHAUDES;67,22;Appartement;68;3
;1;RUE;JULES BOURDIN;39,16;Appartement;30;2
;5637;AV;DES THERMES;25,07;Appartement;27;1
;14;ALL;DE PROVENCE;63,73;Appartement;68;3
;5028;CHE;DE STE ANNETTE;102,87;Appartement;100;4
;36;AV;HENRI JAUBERT;82,11;Appartement;81;4
;117;AV;DES THERMES;23,35;Appartement;24;1
;9001;RES;JEANNE D ARC;30,05;Appartement;31;1
;20;RUE;MARIUS DEBOUT;49,2;Appartement;51;2
;7224;;LES HAUTES PLAINES;24,25;Appartement;24;1
;;RES;PRA CHAUVET;37,55;Appartement;36;2
;7009;;ADRECH DE CHAUVET;108,85;Appartement;81;2
;;RES;LES MELEZES;73,99;Appartement;59;3
;7215;;STATION DE SAINT JEAN;28,02;Appartement;28;1
;7113;;LES SAGNES;22,91;Appartement;27;1
;7024;;LES HAUTES PLAINES;27,36;Appartement;27;1
;7023;;LES HAUTES PLAINES;27,22;Appartement;27;1
;3;RUE;DU FRESQUIE;92,94;Maison;95;4
;;RES;LE CEZANNE;30,95;Appartement;30;1
;20;ALL;DE PROVENCE;62,43;Appartement;60;2
;3;TRA;DES EAUX CHAUDES;35,71;Appartement;36;1
;7102;RTE;DU LAC;61,53;Appartement;61;2
;5038;;LES VIEUX BAINS;27,18;Appartement;26;1
;29;RUE;NATIONALE;18;Appartement;18;1
;;RES;LE CHRISTIANA;24,87;Appartement;25;1
;5177;RUE;GRANDE;62,85;Appartement;70;3
;9013;BD;PAUL MARTIN NALIN;56,52;Appartement;54;3
;11;RUE;DE L ANCIENNE MAIRIE;52,45;Appartement;70;4
;9001;;LA COLETTE;67;Appartement;64;4
;7028;;MAZAGRAND;28,48;Appartement;28;1
;9001;;LA COLETTE;54,33;Appartement;54;3
;8;MTE;DU CHASTEL;35,65;Appartement;46;2
;5;AV;DES THERMES;21,35;Appartement;23;1
;;RES;LA BERANGERE;32,84;Appartement;33;1
;5004;AV;GEORGES DE SALVE;19,28;Appartement;19;1
;30;AV;DES ARCADES;55,5;Appartement;61;2
;15;CHE;DES AJONCS;73,48;Appartement;75;4
;40;AV;JEAN MOULIN;75,06;Appartement;74;3
;4;RUE;DES ALPES;83,46;Appartement;82;4
;42;CHE;DES SALETTES;89,06;Maison;93;4
;7091;;CHANTEMERLE;25,08;Appartement;24;2
;7263;RES;LA PETITE OURSE 2;26,41;Appartement;26;1
;28;RUE;DE L HUBAC;54,79;Appartement;54;4
;;RES;L EDELWEISS;42,72;Appartement;45;2
;16;AV;SAINT PROMASSE;45,2;Appartement;50;2
;9491;CHE;DU LAC;44,24;Appartement;45;2
;20;RUE;DE LA REPUBLIQUE;41,7;Appartement;15;1
;7;RUE;GRENETTE;46,21;Appartement;50;2
;12;RUE;LOUIS ANDRIEUX;64,99;Appartement;63;3
;156;RUE;PIERRE MAITRE;97,07;Maison;87;4
;7024;;LES HAUTES PLAINES;27,5;Appartement;27;1
;3;RLE;DES PRISONS;54,64;Appartement;56;3
;16;RUE;DE L ARMISTICE;44,2;Appartement;52;2
;7197;RES;LE SCHUSS 3;16,61;Appartement;17;1
;10;AV;MARCEL ANDRE;46,42;Appartement;47;2
;7089;AV;REINE DES ALPES;25,44;Appartement;26;2
;7199;;LE SEIGNUS BAS;17,31;Appartement;18;1
;7;PL;GENERAL DE GAULLE;22,9;Appartement;39;1
;7464;;STATION DU GRAND PUY;46,93;Appartement;30;2
;8;CHE;DES PASQUIERS;38,9;Appartement;40;2
;5249;PL;DU FOUR;152,65;Appartement;110;5
;5031;;LE VILLAGE;36,42;Appartement;40;1
;5169;;LE VILLAGE;25,95;Appartement;38;1
;30;BD;CHARLES DE GAULLE;53,81;Appartement;53;2
;;RES;LA TOVIERE;30;Appartement;31;1
;7076;RES;LES MELEZES ROI SOLEIL;24,89;Appartement;25;2
;7076;RES;LES MELEZES ROI SOLEIL;45,22;Appartement;38;3
;7076;RES;LES MELEZES ROI SOLEIL;22,92;Appartement;23;1
;7112;;LES AUCHES;11,43;Appartement;15;1
;3;RUE;TRAVERSIERE;16,81;Appartement;18;1
;9001;;LA LUQUECE;68,19;Appartement;66;4
;70;AV;JEAN GIONO;59,5;Appartement;63;3
;7199;;LE SEIGNUS BAS;28,4;Appartement;20;2
;35;RUE;DU MITAN;18,26;Appartement;20;1
;5135;RUE;DE COCODY;28,9;Maison;63;3
;;RES;LA SAPINIERE;25,9;Appartement;25;1
;7037;;LES PLAINES;30;Appartement;28;1
;;RES;LA ROCHAILLE;29,85;Appartement;29;1
;28;;LE PONT;21,71;Maison;32;2
;8;CRS;DU TRIBUNAL;69,7;Appartement;66;4
;103;BD;GASSENDI;60,28;Appartement;62;3
;53;BD;ELEMIR BOURGES;75,3;Appartement;75;3
;7073;;PONT DE LABRAU;26,09;Appartement;26;1
;3;CHE;DE VILLEVIEILLE;64,96;Appartement;46;2
;7052;;LES AUCHES;17,6;Appartement;17;1
;6103;;LES CHABRANDS;119,9;Maison;121;4
;7245;;LE CLOS DE L EDEN;36,24;Appartement;38;2
;5028;CHE;DE STE ANNETTE;25,35;Appartement;25;1
;22;CHE;DU GALOUBET;99,22;Appartement;100;4
;7149;RUE;DES EAUX CHAUDES;28;Appartement;28;1
;7321;;LE SEIGNUS BAS;27,45;Appartement;25;1
;9005;AV;DES SAVELS;245,13;Maison;248;8
;5525;RUE;GRANDE;56,04;Appartement;40;2
;13;MTE;SAINT CHARLES;50,05;Appartement;54;2
;44;;LE PONT;20,5;Maison;20;1
;36;RUE;DE L HUBAC;25,4;Maison;110;4
;16;LOT;LES LOUVES;130,2;Appartement;114;5
;5041;;LES PLAINES;17,14;Appartement;17;1
;;RES;LE MONOIKOS;56,19;Appartement;58;3
;4;LOT;LES BALCONS DU SOLEIL;50,04;Maison;49;2
;;RES;LE MONOIKOS;37,71;Appartement;39;1
;5029;RUE;DE LA GRANDE FONTAINE;119,4;Appartement;116;5
;9018;AV;JEAN JAURES;67,58;Appartement;68;4
;6374;;RAVEL;46,78;Appartement;46;2
;5403;;PEYRE CHOUSSOUS;19,15;Appartement;22;1
;5141;;BARBA;23,69;Appartement;22;1
;5360;ESP;DESPIERRE;17,34;Appartement;17;1
;2;PROM;DE L ARCHEVECHE;56,2;Appartement;65;4
;5132;;PIED DE CHANCHORE;59,6;Appartement;63;4
;5258;ALL;MARTIAL LUCIEN;44,71;Appartement;43;2
;9218;;SERRE PAIX;62,38;Appartement;70;3
;5318;;MERLETTE;49,61;Appartement;52;3
;5246;ALL;AICARDI HUBERT;55,76;Appartement;35;1
;5498;IMP;TETE D'AMONT;80,48;Maison;47;4
;5721;AV;CHARLES DE GAULLE;26,52;Appartement;26;1
;6374;;RAVEL;29,33;Appartement;29;1
;38;RUE;FRANCOIS CHABAS;45,08;Appartement;38;2
;9;AV;MAURICE PETSCHE;72,72;Appartement;82;6
