Vente
id;Date mutation;Valeur fonciere
;2020-03-16 00:00:00;60000
;2020-03-31 00:00:00;164000
;2020-03-17 00:00:00;93585
;2020-04-03 00:00:00;210000
;2020-03-14 00:00:00;120000
;2020-04-10 00:00:00;50000
;2020-04-03 00:00:00;174850
;2020-04-22 00:00:00;223905
;2020-04-15 00:00:00;540000
;2020-04-15 00:00:00;230000
;2020-04-08 00:00:00;445000
;2020-04-27 00:00:00;44000
;2020-04-09 00:00:00;145900
;2020-04-22 00:00:00;57000
;2020-04-21 00:00:00;138000
;2020-04-09 00:00:00;190000
;2020-03-16 00:00:00;182000
;2020-03-26 00:00:00;271000
;2020-04-28 00:00:00;114400
;2020-04-29 00:00:00;98000
;2020-04-17 00:00:00;505000
;2020-04-24 00:00:00;289150
;2020-04-29 00:00:00;104000
;2020-04-30 00:00:00;245000
;2020-05-06 00:00:00;115000
;2020-05-07 00:00:00;483800
;2020-05-07 00:00:00;185000
;2020-05-07 00:00:00;188000
;2020-05-13 00:00:00;185000
;2020-05-05 00:00:00;162000
;2020-04-17 00:00:00;76000
;2020-04-29 00:00:00;367000
;2020-05-19 00:00:00;324050
;2020-05-20 00:00:00;170000
;2020-05-15 00:00:00;79370
;2020-05-15 00:00:00;69800
;2020-05-18 00:00:00;54120
;2020-05-19 00:00:00;116500
;2020-05-12 00:00:00;136000
;2020-05-12 00:00:00;234810
;2020-05-15 00:00:00;410000
;2020-05-14 00:00:00;205000
;2020-05-06 00:00:00;294000
;2020-05-11 00:00:00;620000
;2020-05-12 00:00:00;230000
;2020-05-15 00:00:00;469820
;2020-05-29 00:00:00;371550
;2020-05-12 00:00:00;315000
;2020-05-20 00:00:00;82500
;2020-05-12 00:00:00;439785
;2020-05-18 00:00:00;65000
;2020-05-15 00:00:00;469000
;2020-05-18 00:00:00;161000
;2020-05-19 00:00:00;513350
;2020-06-02 00:00:00;83000
;2020-06-02 00:00:00;471810
;2020-06-11 00:00:00;220470
;2020-06-04 00:00:00;243000
;2020-06-04 00:00:00;100000
;2020-05-29 00:00:00;193700
;2020-06-04 00:00:00;100000
;2020-06-17 00:00:00;595600
;2020-06-26 00:00:00;225000
;2020-01-14 00:00:00;106000
;2020-01-10 00:00:00;203400
;2020-01-07 00:00:00;212150
;2020-01-03 00:00:00;102000
;2020-01-16 00:00:00;150200
;2020-01-13 00:00:00;129400
;2020-04-06 00:00:00;130000
;2020-05-15 00:00:00;84800
;2020-05-20 00:00:00;282600
;2020-05-22 00:00:00;145100
;2020-01-16 00:00:00;87000
;2020-01-03 00:00:00;142000
;2020-01-15 00:00:00;66000
;2020-01-22 00:00:00;71500
;2020-01-10 00:00:00;68100
;2020-01-24 00:00:00;58900
;2020-02-17 00:00:00;37900
;2020-02-14 00:00:00;70000
;2020-02-21 00:00:00;112900
;2020-02-21 00:00:00;39500
;2020-02-24 00:00:00;39900
;2020-02-19 00:00:00;78100
;2020-02-06 00:00:00;37015
;2020-03-12 00:00:00;93000
;2020-04-09 00:00:00;35000
;2020-04-06 00:00:00;42500
;2020-04-09 00:00:00;88000
;2020-05-06 00:00:00;80900
;2020-05-04 00:00:00;34000
;2020-05-18 00:00:00;84000
;2020-05-11 00:00:00;90000
;2020-05-26 00:00:00;81500
;2020-05-26 00:00:00;27000
;2020-05-26 00:00:00;20000
;2020-05-29 00:00:00;137000
;2020-05-30 00:00:00;44500
;2020-06-05 00:00:00;75000
;2020-05-22 00:00:00;44000
;2020-06-25 00:00:00;32500
;2020-06-23 00:00:00;35500
;2020-06-24 00:00:00;365000
;2020-06-24 00:00:00;55000
;2020-06-30 00:00:00;29500
;2020-01-15 00:00:00;370000
;2020-02-07 00:00:00;41000
;2020-03-06 00:00:00;107000
;2020-06-19 00:00:00;68700
;2020-01-10 00:00:00;290000
;2020-02-04 00:00:00;57000
;2020-01-31 00:00:00;274000
;2020-02-06 00:00:00;39000
;2020-02-18 00:00:00;102345
;2020-02-07 00:00:00;63500
;2020-02-04 00:00:00;181000
;2020-02-13 00:00:00;125000
;2020-02-13 00:00:00;59000
;2020-02-17 00:00:00;63000
;2020-02-05 00:00:00;90000
;2020-01-31 00:00:00;110000
;2020-02-12 00:00:00;81000
;2020-02-19 00:00:00;67000
;2020-02-18 00:00:00;30000
;2020-02-03 00:00:00;79180
;2020-03-03 00:00:00;55000
;2020-02-14 00:00:00;97000
;2020-03-10 00:00:00;44000
;2020-03-10 00:00:00;82500
;2020-03-02 00:00:00;230000
;2020-02-27 00:00:00;13000
;2020-04-20 00:00:00;103090
;2020-04-23 00:00:00;95000
;2020-05-15 00:00:00;36000
;2020-03-10 00:00:00;100789
;2020-03-02 00:00:00;76280
;2020-05-06 00:00:00;65000
;2020-05-29 00:00:00;151000
;2020-05-14 00:00:00;134000
;2020-05-25 00:00:00;56500
;2020-06-05 00:00:00;47500
;2020-06-04 00:00:00;44000
;2020-05-16 00:00:00;41500
;2020-05-27 00:00:00;95000
;2020-05-28 00:00:00;87000
;2020-06-10 00:00:00;53000
;2020-06-30 00:00:00;36000
;2020-06-05 00:00:00;70000
;2020-06-18 00:00:00;169000
;2020-06-09 00:00:00;148586
;2020-06-10 00:00:00;140000
;2020-06-25 00:00:00;45375
;2020-01-24 00:00:00;55000
;2020-02-07 00:00:00;290000
;2020-03-11 00:00:00;110500
;2020-06-10 00:00:00;67000
;2020-06-08 00:00:00;43000
;2020-01-21 00:00:00;111324
;2020-01-03 00:00:00;164000
;2020-01-07 00:00:00;131990
;2020-01-15 00:00:00;74169
;2020-01-16 00:00:00;106000
;2020-03-16 00:00:00;135000
;2020-02-28 00:00:00;59500
;2020-03-17 00:00:00;108254
;2020-05-06 00:00:00;45500
;2020-05-19 00:00:00;55000
;2020-06-18 00:00:00;41000
;2020-05-16 00:00:00;172200
;2020-05-25 00:00:00;100000
;2020-05-15 00:00:00;96000
;2020-05-25 00:00:00;153500
;2020-05-20 00:00:00;35722,61
;2020-06-09 00:00:00;26500
;2020-01-04 00:00:00;84000
;2020-01-03 00:00:00;71000
;2020-01-10 00:00:00;38550
;2020-01-21 00:00:00;118500
;2020-01-06 00:00:00;196000
;2020-01-11 00:00:00;48000
;2020-01-03 00:00:00;43000
;2020-01-21 00:00:00;29800
;2020-01-20 00:00:00;175000
;2020-01-22 00:00:00;34000
;2020-01-17 00:00:00;40000
;2020-01-15 00:00:00;42000
;2020-01-21 00:00:00;39735
;2020-01-29 00:00:00;105000
;2020-01-14 00:00:00;128690
;2020-01-23 00:00:00;113330
;2020-01-16 00:00:00;300000
;2020-01-20 00:00:00;77000
;2020-01-29 00:00:00;75000
;2020-01-03 00:00:00;33880
;2020-01-20 00:00:00;42800
;2020-02-07 00:00:00;64000
;2020-01-31 00:00:00;105375
;2020-01-30 00:00:00;40000
;2020-02-04 00:00:00;61000
;2020-02-10 00:00:00;44585
;2020-01-24 00:00:00;67830
;2020-01-23 00:00:00;71000
;2020-02-07 00:00:00;43000
;2020-02-05 00:00:00;75000
;2020-01-31 00:00:00;113000
;2020-02-13 00:00:00;52800
;2020-02-14 00:00:00;57000
;2020-02-14 00:00:00;37000
;2020-01-27 00:00:00;51000
;2020-02-04 00:00:00;115000
;2020-01-31 00:00:00;160500
;2020-02-07 00:00:00;62500
;2020-02-14 00:00:00;52500
;2020-01-30 00:00:00;66450,35
;2020-01-31 00:00:00;47000
;2020-02-12 00:00:00;150500
;2020-02-12 00:00:00;201500
;2020-01-27 00:00:00;24000
;2020-02-21 00:00:00;270200
;2020-01-29 00:00:00;128014,89
;2020-02-13 00:00:00;90000
;2020-02-25 00:00:00;68730
;2020-02-17 00:00:00;19000
;2020-02-22 00:00:00;44000
;2020-02-04 00:00:00;37000
;2020-02-08 00:00:00;67500
;2020-02-13 00:00:00;76600
;2020-02-06 00:00:00;52300
;2020-02-19 00:00:00;40000
;2020-02-11 00:00:00;80000
;2020-02-12 00:00:00;62000
;2020-02-21 00:00:00;146200
;2020-02-14 00:00:00;61500
;2020-02-07 00:00:00;88000
;2020-02-26 00:00:00;77000
;2020-02-29 00:00:00;63500
;2020-02-25 00:00:00;58000
;2020-02-26 00:00:00;230000
;2020-02-24 00:00:00;135700
;2020-02-27 00:00:00;76000
;2020-02-14 00:00:00;61400
;2020-02-27 00:00:00;44000
;2020-02-17 00:00:00;69300
;2020-02-14 00:00:00;41500
;2020-02-21 00:00:00;230000
;2020-02-21 00:00:00;220000
;2020-02-26 00:00:00;67560
;2020-02-22 00:00:00;39980
;2020-02-19 00:00:00;61700
;2020-02-20 00:00:00;70020
;2020-03-03 00:00:00;226750
;2020-03-03 00:00:00;81860
;2020-03-03 00:00:00;69450
;2020-03-02 00:00:00;33000
;2020-02-21 00:00:00;83000
;2020-02-15 00:00:00;62700
;2020-02-25 00:00:00;44000
;2020-02-15 00:00:00;43000
;2020-03-09 00:00:00;101000
;2020-02-28 00:00:00;77000
;2020-03-06 00:00:00;70200
;2020-03-06 00:00:00;43000
;2020-03-31 00:00:00;47200
;2020-03-14 00:00:00;65000
;2020-04-21 00:00:00;70000
;2020-03-18 00:00:00;46890
;2020-02-26 00:00:00;54090
;2020-04-30 00:00:00;43500
;2020-04-30 00:00:00;77400
;2020-05-05 00:00:00;128490
;2020-04-30 00:00:00;130000
;2020-05-04 00:00:00;87000
;2020-04-24 00:00:00;155000
;2020-04-29 00:00:00;19400
;2020-05-07 00:00:00;51400
;2020-05-12 00:00:00;35000
;2020-04-15 00:00:00;110000
;2020-05-18 00:00:00;64500
;2020-05-15 00:00:00;86000
;2020-05-15 00:00:00;45000
;2020-05-19 00:00:00;87000
;2020-05-12 00:00:00;111300
;2020-05-13 00:00:00;230000
;2020-05-20 00:00:00;67500
;2020-05-27 00:00:00;105000
;2020-05-13 00:00:00;28500
;2020-05-28 00:00:00;27000
;2020-05-26 00:00:00;113000
;2020-04-30 00:00:00;48700
;2020-05-13 00:00:00;29900
;2020-05-07 00:00:00;29500
;2020-05-27 00:00:00;46937
;2020-05-29 00:00:00;55500
;2020-05-14 00:00:00;142500
;2020-05-16 00:00:00;35000
;2020-06-03 00:00:00;32500
;2020-05-26 00:00:00;64050
;2020-05-29 00:00:00;60000
;2020-05-29 00:00:00;45710
;2020-05-29 00:00:00;55500
;2020-05-30 00:00:00;35500
;2020-06-06 00:00:00;20140
;2020-05-26 00:00:00;25650
;2020-05-18 00:00:00;126000
;2020-05-20 00:00:00;61000
;2020-06-11 00:00:00;54000
;2020-06-03 00:00:00;30500
;2020-05-28 00:00:00;80000
;2020-05-20 00:00:00;28350
;2020-06-06 00:00:00;78500
;2020-01-25 00:00:00;57950
;2020-06-16 00:00:00;55000
;2020-05-29 00:00:00;63000
;2020-06-03 00:00:00;62000
;2020-06-10 00:00:00;134300
;2020-06-20 00:00:00;56000
;2020-06-12 00:00:00;130000
;2020-05-28 00:00:00;41000
;2020-06-11 00:00:00;272000
;2020-06-15 00:00:00;117000
;2020-06-15 00:00:00;75000
;2020-06-03 00:00:00;206000
;2020-06-13 00:00:00;83000
;2020-06-26 00:00:00;35000
;2020-06-18 00:00:00;300000
;2020-06-06 00:00:00;33000
;2020-06-26 00:00:00;57500
;2020-06-05 00:00:00;63000
;2020-06-26 00:00:00;25000
;2020-06-10 00:00:00;225500
;2020-06-29 00:00:00;55800
;2020-06-23 00:00:00;135000
;2020-06-11 00:00:00;95000
;2020-06-17 00:00:00;64000
;2020-06-30 00:00:00;135000
;2020-06-30 00:00:00;90000
;2020-01-29 00:00:00;75000
;2020-01-20 00:00:00;41500
;2020-01-16 00:00:00;41080
;2020-02-12 00:00:00;
;2020-01-16 00:00:00;310000
;2020-02-07 00:00:00;159550
;2020-01-22 00:00:00;150000
;2020-02-18 00:00:00;165500
;2020-02-21 00:00:00;67200
;2020-02-12 00:00:00;230000
;2020-02-05 00:00:00;220000
;2020-02-07 00:00:00;53320
;2020-02-10 00:00:00;49000
;2020-02-24 00:00:00;110000
;2020-02-27 00:00:00;238000
;2020-02-24 00:00:00;55000
;2020-02-22 00:00:00;53260
;2020-02-25 00:00:00;120250
;2020-02-18 00:00:00;119390
;2020-02-20 00:00:00;117110
;2020-02-21 00:00:00;85000
;2020-02-28 00:00:00;140150
;2020-03-16 00:00:00;113000
;2020-03-26 00:00:00;26630
;2020-04-02 00:00:00;64000
;2020-03-02 00:00:00;56900
;2020-04-22 00:00:00;114275
;2020-04-03 00:00:00;123000
;2020-04-16 00:00:00;98000
;2020-03-27 00:00:00;43000
;2020-03-04 00:00:00;30250
;2020-04-27 00:00:00;50740
;2020-04-30 00:00:00;146192
;2020-04-27 00:00:00;40000
;2020-05-06 00:00:00;80000
;2020-04-30 00:00:00;65000
;2020-04-22 00:00:00;112000
;2020-05-14 00:00:00;85000
;2020-05-13 00:00:00;47000
;2020-05-14 00:00:00;67340
;2020-05-29 00:00:00;65500
;2020-05-28 00:00:00;125000
;2020-05-26 00:00:00;153240
;2020-05-30 00:00:00;75000
;2020-05-29 00:00:00;23000
;2020-05-28 00:00:00;107871
;2020-06-04 00:00:00;33000
;2020-05-30 00:00:00;187000
;2020-05-11 00:00:00;51300
;2020-05-28 00:00:00;45500
;2020-05-29 00:00:00;59800
;2020-06-08 00:00:00;75000
;2020-05-16 00:00:00;32000
;2020-05-18 00:00:00;36100
;2020-05-15 00:00:00;50000
;2020-05-18 00:00:00;81200
;2020-05-29 00:00:00;148000
;2020-05-22 00:00:00;46780
;2020-06-10 00:00:00;233400
;2020-05-15 00:00:00;165000
;2020-06-05 00:00:00;55000
;2020-06-06 00:00:00;34500
;2020-06-03 00:00:00;125000
;2020-06-09 00:00:00;144000
;2020-06-19 00:00:00;179000
;2020-06-05 00:00:00;181000
;2020-06-08 00:00:00;278800
;2020-06-05 00:00:00;220000
;2020-06-05 00:00:00;136000
;2020-06-23 00:00:00;30000
;2020-06-08 00:00:00;85000
;2020-05-29 00:00:00;39000
;2020-06-23 00:00:00;19800
;2020-06-26 00:00:00;21000
;2020-06-15 00:00:00;202000
;2020-06-12 00:00:00;44600
;2020-06-15 00:00:00;39000
;2020-06-05 00:00:00;212000
;2020-06-06 00:00:00;152600
;2020-06-06 00:00:00;66500
;2020-06-06 00:00:00;69000
;2020-06-29 00:00:00;76000
;2020-06-15 00:00:00;51500
;2020-06-26 00:00:00;141500
;2020-06-15 00:00:00;153000
;2020-06-24 00:00:00;85700
;2020-06-23 00:00:00;19000
;2020-06-15 00:00:00;190000
;2020-06-22 00:00:00;202100
;2020-06-30 00:00:00;64600
;2020-06-29 00:00:00;90250
;2020-01-03 00:00:00;616900
;2020-01-03 00:00:00;212550
;2020-01-02 00:00:00;229500
;2020-01-13 00:00:00;191500
;2020-01-13 00:00:00;140650
;2020-01-10 00:00:00;228500
;2020-01-15 00:00:00;112070
;2020-01-06 00:00:00;212200
;2020-01-14 00:00:00;195500
;2020-01-10 00:00:00;158525
;2020-01-16 00:00:00;171700
;2020-01-08 00:00:00;340750
;2020-01-09 00:00:00;179000
;2020-01-09 00:00:00;121300
;2020-01-03 00:00:00;317800
;2020-01-10 00:00:00;262089
;2020-01-09 00:00:00;314600
;2020-01-17 00:00:00;767000
;2020-01-17 00:00:00;116260
;2020-01-10 00:00:00;414000
;2020-01-14 00:00:00;413826
;2020-01-20 00:00:00;327500
;2020-01-06 00:00:00;643815
;2020-01-14 00:00:00;652000
;2020-01-20 00:00:00;113700
;2020-01-17 00:00:00;1320000
;2020-01-17 00:00:00;483314
;2020-02-03 00:00:00;178140
;2020-01-20 00:00:00;118110
;2020-01-28 00:00:00;622850
;2020-01-24 00:00:00;137009
;2020-01-24 00:00:00;114500
;2020-01-31 00:00:00;50925
;2020-01-24 00:00:00;1852500
;2020-01-24 00:00:00;233470
;2020-02-07 00:00:00;151500
;2020-01-21 00:00:00;117800
;2020-02-05 00:00:00;1022000
;2020-01-31 00:00:00;200150
;2020-01-24 00:00:00;121900
;2020-02-14 00:00:00;294000
;2020-01-27 00:00:00;301150
;2020-02-06 00:00:00;78500
;2020-01-30 00:00:00;376150
;2020-01-24 00:00:00;199500
;2020-02-05 00:00:00;149870
;2020-02-06 00:00:00;107600
;2020-02-05 00:00:00;228800
;2020-02-06 00:00:00;151592
;2020-02-06 00:00:00;417000
;2020-02-14 00:00:00;130940
;2020-02-13 00:00:00;397400
;2020-02-12 00:00:00;77000
;2020-02-13 00:00:00;291550
;2020-02-12 00:00:00;262580
;2020-01-30 00:00:00;1196000
;2020-02-10 00:00:00;325100
;2020-01-30 00:00:00;148113
;2020-02-04 00:00:00;142000
;2020-02-24 00:00:00;175000
;2020-02-14 00:00:00;194460
;2020-02-17 00:00:00;274102
;2020-01-31 00:00:00;205250
;2020-02-28 00:00:00;149450
;2020-02-25 00:00:00;136500
;2020-02-04 00:00:00;211500
;2020-02-11 00:00:00;43560
;2020-02-14 00:00:00;291230
;2020-02-10 00:00:00;153600
;2020-02-17 00:00:00;409000
;2020-02-06 00:00:00;138500
;2020-02-29 00:00:00;302200
;2020-02-20 00:00:00;234820
;2020-02-21 00:00:00;417145
;2020-02-13 00:00:00;309800
;2020-02-12 00:00:00;1076000
;2020-02-12 00:00:00;135500
;2020-01-15 00:00:00;144400
;2020-01-21 00:00:00;238000
;2020-02-27 00:00:00;120625
;2020-02-17 00:00:00;194030
;2020-02-21 00:00:00;532500
;2020-03-04 00:00:00;357100
;2020-02-19 00:00:00;168782,9
;2020-02-17 00:00:00;297000
;2020-03-16 00:00:00;335300
;2020-02-21 00:00:00;208000
;2020-03-16 00:00:00;245600
;2020-03-09 00:00:00;692000
;2020-03-06 00:00:00;230000
;2020-03-03 00:00:00;145825
;2020-03-06 00:00:00;166850
;2020-02-28 00:00:00;202500
;2020-03-10 00:00:00;377600
;2020-03-05 00:00:00;205370
;2020-03-02 00:00:00;196600
;2020-02-28 00:00:00;302500
;2020-03-05 00:00:00;79900
;2020-03-06 00:00:00;616000
;2020-03-03 00:00:00;1755000
;2020-03-27 00:00:00;122500
;2020-03-16 00:00:00;299250
;2020-03-06 00:00:00;685500
;2020-03-17 00:00:00;718626
;2020-03-26 00:00:00;251750
;2020-03-31 00:00:00;92500
;2020-03-20 00:00:00;723000
;2020-03-12 00:00:00;78850
;2020-03-23 00:00:00;72500
;2020-04-02 00:00:00;244370
;2020-03-31 00:00:00;798000
;2020-04-09 00:00:00;308000
;2020-04-07 00:00:00;152500
;2020-04-20 00:00:00;383450
;2020-04-23 00:00:00;525000
;2020-04-15 00:00:00;455240
;2020-04-21 00:00:00;123900
;2020-03-26 00:00:00;133000
;2020-02-11 00:00:00;33609
;2020-02-11 00:00:00;67991
;2020-04-16 00:00:00;319000
;2020-04-24 00:00:00;162300
;2020-04-27 00:00:00;610000
;2020-05-06 00:00:00;120560
;2020-04-30 00:00:00;695000
;2020-05-05 00:00:00;378000
;2020-05-05 00:00:00;292500
;2020-04-30 00:00:00;85100
;2020-04-27 00:00:00;165000
;2020-05-15 00:00:00;204700
;2020-05-18 00:00:00;337000
;2020-05-15 00:00:00;121700
;2020-05-14 00:00:00;266000
;2020-04-30 00:00:00;324250
;2020-05-06 00:00:00;190450
;2020-05-11 00:00:00;455000
;2020-05-19 00:00:00;178525
;2020-05-19 00:00:00;201400
;2020-05-04 00:00:00;208500
;2020-03-30 00:00:00;63000
;2020-05-19 00:00:00;88550
;2020-05-19 00:00:00;228000
;2020-05-11 00:00:00;155550
;2020-04-28 00:00:00;146430
;2020-05-20 00:00:00;196100
;2020-05-14 00:00:00;387000
;2020-05-15 00:00:00;185000
;2020-05-25 00:00:00;261250
;2020-05-14 00:00:00;514000
;2020-05-29 00:00:00;148750
;2020-05-26 00:00:00;74000
;2020-05-14 00:00:00;198200
;2020-05-15 00:00:00;935000
;2020-05-28 00:00:00;81300
;2020-05-18 00:00:00;156250
;2020-05-14 00:00:00;74400
;2020-06-04 00:00:00;780000
;2020-06-04 00:00:00;352960
;2020-05-19 00:00:00;287000
;2020-05-20 00:00:00;159200
;2020-05-15 00:00:00;141000
;2020-05-19 00:00:00;279000
;2020-05-25 00:00:00;370545
;2020-05-28 00:00:00;422000
;2020-05-20 00:00:00;193700
;2020-05-20 00:00:00;539280
;2020-05-20 00:00:00;321175
;2020-05-25 00:00:00;809000
;2020-05-28 00:00:00;167500
;2020-05-22 00:00:00;232180
;2020-05-25 00:00:00;212700
;2020-06-04 00:00:00;272600
;2020-06-11 00:00:00;169600
;2020-06-10 00:00:00;102800
;2020-06-09 00:00:00;166500
;2020-05-29 00:00:00;810000
;2020-06-10 00:00:00;294975
;2020-06-03 00:00:00;860000
;2020-06-09 00:00:00;219990
;2020-06-03 00:00:00;215200
;2020-06-12 00:00:00;365580
;2020-06-19 00:00:00;450000
;2020-06-05 00:00:00;675000
;2020-06-11 00:00:00;189400
;2020-06-08 00:00:00;186600
;2020-06-15 00:00:00;148900
;2020-06-05 00:00:00;102700
;2020-06-03 00:00:00;180000
;2020-06-02 00:00:00;119100
;2020-06-09 00:00:00;84112
;2020-06-10 00:00:00;90500
;2020-06-17 00:00:00;346000
;2020-05-29 00:00:00;66000
;2020-06-04 00:00:00;131600
;2020-06-15 00:00:00;230300
;2020-05-19 00:00:00;82000
;2020-06-15 00:00:00;143000
;2020-06-12 00:00:00;210000
;2020-06-08 00:00:00;274000
;2020-06-29 00:00:00;179900
;2020-06-08 00:00:00;214000
;2020-06-16 00:00:00;73000
;2020-06-26 00:00:00;169000
;2020-04-30 00:00:00;254280
;2020-06-02 00:00:00;342000
;2020-06-30 00:00:00;328300
;2020-06-10 00:00:00;203300
;2020-06-16 00:00:00;167960
;2020-06-17 00:00:00;432500
;2020-06-30 00:00:00;970000
;2020-06-19 00:00:00;82500
;2020-06-22 00:00:00;263500
;2020-06-05 00:00:00;138800
;2020-06-12 00:00:00;565000
;2020-06-17 00:00:00;1582542
;2020-06-15 00:00:00;52000
;2020-06-15 00:00:00;155350
;2020-06-26 00:00:00;401470
;2020-06-25 00:00:00;166000
;2020-06-16 00:00:00;285000
;2020-06-30 00:00:00;445100
;2020-06-26 00:00:00;137700
;2020-06-18 00:00:00;147500
;2020-06-11 00:00:00;113300
;2020-06-11 00:00:00;439200
;2020-06-17 00:00:00;277000
;2020-06-25 00:00:00;85500
;2020-01-10 00:00:00;172020
;2020-01-08 00:00:00;415000
;2020-01-08 00:00:00;214700
;2020-01-10 00:00:00;421420
;2020-01-16 00:00:00;635000
;2020-01-10 00:00:00;171600
;2020-01-13 00:00:00;278800
;2020-01-15 00:00:00;183750
;2020-01-17 00:00:00;435000
;2020-01-17 00:00:00;111755
;2020-02-04 00:00:00;124500
;2020-01-23 00:00:00;121000
;2020-01-29 00:00:00;84500
;2020-01-21 00:00:00;407500
;2020-02-11 00:00:00;96300
;2020-01-31 00:00:00;341000
;2020-01-29 00:00:00;115200
;2020-01-31 00:00:00;559900
;2020-02-07 00:00:00;257500
;2020-01-30 00:00:00;50400
;2020-02-11 00:00:00;187440
;2020-02-06 00:00:00;157700
;2020-02-26 00:00:00;129450
;2020-02-14 00:00:00;584000
;2020-02-10 00:00:00;111600
;2020-02-12 00:00:00;92000
;2020-02-10 00:00:00;104000
;2020-02-25 00:00:00;186000
;2020-02-11 00:00:00;244000
;2020-02-26 00:00:00;283500
;2020-02-24 00:00:00;124720
;2020-02-27 00:00:00;192500
;2020-02-13 00:00:00;103000
;2020-03-03 00:00:00;156750
;2020-03-10 00:00:00;120200
;2020-02-28 00:00:00;36000
;2020-02-17 00:00:00;111594
;2020-02-28 00:00:00;611284
;2020-03-03 00:00:00;57000
;2020-02-29 00:00:00;88000
;2020-03-02 00:00:00;173000
;2020-02-21 00:00:00;143730
;2020-03-09 00:00:00;65000
;2020-03-17 00:00:00;308200
;2020-03-04 00:00:00;486200
;2020-02-27 00:00:00;161000
;2020-03-11 00:00:00;207000
;2020-03-11 00:00:00;70000
;2020-03-18 00:00:00;87000
